,Name,Club,Pos,Status,%Owned,Price,Chgs,Unlocks,Target
378,S.Longstaff,Newcastle,M,A,1.2,£4.5m,0,---,101879
379,Joelinton,Newcastle,M,A,0.7,£6.0m,0,---,101879
380,Lewis,Newcastle,D,A,0.1,£4.5m,0,---,101879
381,Willock,Newcastle,M,A,0.9,£5.0m,0,---,101879
382,Bruno Guimarães,Newcastle,M,A,20.5,£6.0m,0,---,101879
383,Hendrick,Newcastle,M,U,0.1,£4.5m,0,---,101879
384,Pope,Newcastle,G,A,5.6,£5.0m,0,---,101879
385,Botman,Newcastle,D,A,4.1,£4.5m,0,---,101879
386,Arter,Nott'm Forest,M,A,0.4,£4.5m,0,---,101879
387,Cook,Nott'm Forest,D,A,0.3,£4.5m,0,---,101879
388,Taylor,Nott'm Forest,F,A,11.5,£4.5m,0,---,101879
389,Colback,Nott'm Forest,M,A,5.1,£4.5m,0,---,101879
390,Samba,Nott'm Forest,G,U,0.1,£4.5m,0,---,101879
391,Cafú,Nott'm Forest,M,A,0.7,£4.5m,0,---,101879
392,Lolley,Nott'm Forest,M,A,0.1,£5.0m,0,---,101879
393,McKenna,Nott'm Forest,D,A,0.2,£4.5m,0,---,101879
394,Dräger,Nott'm Forest,D,A,1.2,£4.0m,0,---,101879
395,Yates,Nott'm Forest,M,I,0.3,£5.0m,0,---,101879
396,Worrall,Nott'm Forest,D,A,0.2,£4.5m,0,---,101879
397,Panzo,Nott'm Forest,D,U,0.4,£4.0m,0,---,101879
398,Xande Silva,Nott'm Forest,M,A,0.1,£5.0m,0,---,101879
399,Surridge,Nott'm Forest,F,A,1.9,£5.0m,0,---,101879
400,Laryea,Nott'm Forest,D,A,0.1,£4.5m,0,---,101879
401,Mbe Soh,Nott'm Forest,D,A,0.1,£4.5m,0,---,101879
402,Johnson,Nott'm Forest,F,A,4.1,£6.0m,0,---,101879
403,Mighten,Nott'm Forest,M,A,0.1,£5.0m,0,---,101879
404,Ojeda,Nott'm Forest,M,A,0.2,£4.5m,0,---,101879
405,Awoniyi,Nott'm Forest,F,A,2,£6.0m,0,---,101879
406,Henderson,Nott'm Forest,G,A,7.3,£4.5m,0,---,101879
407,Biancone,Nott'm Forest,D,A,0.1,£4.5m,0,---,101879
408,Walcott,Southampton,M,A,0.1,£5.0m,0,---,101879
409,McCarthy,Southampton,G,A,0.4,£4.5m,0,---,101879
410,Romeu,Southampton,M,A,0.1,£5.0m,0,---,101879
411,Redmond,Southampton,M,A,0.1,£5.5m,0,---,101879
412,Stephens,Southampton,D,A,0.1,£4.5m,0,---,101879
413,S.Armstrong,Southampton,M,A,0.2,£5.0m,0,---,101879
414,Elyounoussi,Southampton,M,A,0.1,£5.5m,0,---,101879
415,Ward-Prowse,Southampton,M,A,10.2,£6.5m,0,---,101879
416,A.Armstrong,Southampton,F,A,0.8,£5.5m,0,---,101879
417,Walker-Peters,Southampton,D,A,1.3,£4.5m,0,---,101879
418,Bednarek,Southampton,D,A,0.5,£4.5m,0,---,101879
419,Adams,Southampton,F,A,0.8,£6.5m,0,---,101879
420,Tella,Southampton,M,A,0,£5.0m,0,---,101879
